iter	Passed	Remaining
0	89	8868
1	103	50862	115	3733
3	119	2871
4	124	2357
5	137	2152
6	143	1903
7	145	1670
8	154	1561
9	163	1469
10	167	1356
11	190	1396
12	194	1299
13	201	1240
14	202	1149
15	203	1069
16	204	999
17	205	935
18	213	911
19	215	861
20	216	815
21	218	773
22	219	734
23	220	698
24	221	665
25	223	635
26	224	607
27	236	608
28	237	582
29	238	556
30	239	532
31	240	510
32	24034	266	495
35	271	482
36	275	469
37	283	463
38	290	453
39	295	443
40	304	438
41	321	444
42	333	442
43	334	426
44	335	410
45	344	404
46	345	389
47	359	389
48	365	380
49	375	375
50	391	376
51	395	365
52	400	355
53	429	366
54	430	352
55	431	339
56	432	326
57	434	314
58	435	302
59	436	290
60	437	279
61	437	268
62	438	257
63	439	247
64	454	244
65	455	234
66	456	225
67	458	215
68	459	206
69	459	197
70	460	188
71	461	179
72	463	171
73	464	163
74	468	156
75	483	152
76	486	145
77	487	137
78	488	129
79	489	122
80	490	115
81	491	107
82	492	100
83	494	94
84	495	87
85	498	81
86	502	75
87	505	68
88	506	62
89	507	56
90	509	50
91	510	44
92	512	38
93	513	32
94	515	27
95	517	21
96	518	16
97	520	10
98	522	5
99	523	0
4
99	494	0

